"","LOC","Dsc1_EXPR","NUM"
"1","LOC5575962",1,6523
"2","Or73",1,9
"3","Ir107",1,18
"4","Gr20i",1,8
"5","Gr19c",1,6
"6","Or102",0.978723404255319,47
"7","Or115",0.978102189781022,137
"8","Or100",0.972413793103448,290
"9","Or43",0.970588235294118,34
"10","Or112",0.963963963963964,555
"11","Or105",0.958015267175573,262
"12","Or52",0.956656346749226,323
"13","Or111",0.956427015250545,459
"14","Or88",0.95609756097561,615
"15","Or104",0.954070981210856,479
"16","Or51",0.951219512195122,41
"17","Or91",0.950819672131147,122
"18","Ir41n",0.95,20
"19","Or97",0.945876288659794,388
"20","Ir108",0.944444444444444,36
"21","Or95",0.943820224719101,89
"22","Or113",0.943139678615575,809
"23","Or72",0.94238683127572,243
"24","Or87",0.939114391143911,1084
"25","Or50",0.938775510204082,98
"26","Or58",0.9375,64
"27","Or81",0.936813186813187,364
"28","Or36",0.935828877005348,748
"29","Or110",0.935483870967742,93
"30","Or63",0.934579439252336,321
"31","Or131",0.933333333333333,45
"32","Or99",0.933333333333333,30
"33","LOC5570466",0.931712549159814,5594
"34","Or130",0.930555555555556,72
"35","Ir161",0.929824561403509,57
"36","Or64",0.928853754940711,253
"37","Ir111",0.928571428571429,14
"38","Ir25a",0.927835051546392,3686
"39","Or84",0.927237604636188,1553
"40","Ir41o",0.926605504587156,436
"41","Ir40a",0.925925925925926,27
"42","Or59",0.925619834710744,242
"43","Or44",0.925531914893617,188
"44","Or133",0.924528301886792,53
"45","Or71",0.924242424242424,264
"46","Or41",0.923913043478261,92
"47","Or103",0.923076923076923,468
"48","Or37",0.923076923076923,13
"49","Ir136",0.922330097087379,103
"50","Or27",0.921182266009852,203
"51","Or94",0.920770877944325,467
"52","Or45",0.919642857142857,112
"53","Or33",0.919354838709677,62
"54","Or26",0.918181818181818,110
"55","Or69",0.915451895043732,343
"56","Or4",0.912380952380952,525
"57","Or55",0.912280701754386,57
"58","Or62",0.911764705882353,68
"59","Or93",0.911764705882353,34
"60","Ir41m",0.910714285714286,56
"61","Or77",0.909090909090909,55
"62","Ir41l",0.907258064516129,248
"63","Ir75h",0.906896551724138,290
"64","Or23",0.904109589041096,292
"65","Ir41a",0.903712296983759,862
"66","Or122",0.903508771929825,228
"67","Or114",0.903225806451613,93
"68","Or101",0.903225806451613,62
"69","Or82",0.902748414376321,473
"70","Or11",0.90249433106576,441
"71","Ir41f",0.901639344262295,305
"72","Ir8a",0.900347624565469,863
"73","Ir117",0.9,80
"74","Ir87a2",0.89873417721519,158
"75","Or47",0.897039897039897,777
"76","Or28",0.895833333333333,48
"77","Or85",0.895384615384615,325
"78","Or123",0.895348837209302,86
"79","Ir75c",0.894736842105263,209
"80","Or132",0.894613583138173,427
"81","Ir76b",0.894357233771744,2357
"82","Or67",0.893939393939394,66
"83","Ir75a",0.89344262295082,244
"84","Ir41c",0.893333333333333,450
"85","Or15",0.890625,64
"86","Or31",0.890625,64
"87","Or6",0.889328063241107,253
"88","Ir138",0.888888888888889,18
"89","Or86",0.886363636363636,88
"90","Ir31a1",0.885245901639344,244
"91","Or38",0.884745762711864,295
"92","Or121",0.884615384615385,208
"93","Or92",0.884615384615385,26
"94","Or10",0.883977900552486,181
"95","Or125",0.8828125,128
"96","Or2",0.882352941176471,136
"97","Or54",0.87962962962963,108
"98","Ir7j",0.875,24
"99","Ir75f",0.874074074074074,135
"100","Ir93a",0.874074074074074,135
"101","Or78",0.87378640776699,103
"102","Ir41k",0.873493975903614,498
"103","Ir41e",0.870967741935484,31
"104","Ir75l",0.87037037037037,54
"105","Or79",0.869731800766284,261
"106","Ir41p",0.867924528301887,318
"107","Gr34",0.867924528301887,53
"108","Ir41d",0.866666666666667,15
"109","Or118",0.864864864864865,37
"110","Ir114",0.857142857142857,7
"111","Or3",0.855670103092783,97
"112","Ir75b",0.85140562248996,249
"113","Ir75g",0.848765432098765,324
"114","Or128",0.846153846153846,26
"115","Or106",0.844444444444444,45
"116","Or24",0.84375,32
"117","Ir75k",0.843137254901961,102
"118","LOC5567355",0.842520795150148,7093
"119","Ir41g",0.838709677419355,31
"120","Ir31a2",0.8359375,128
"121","Ir41j",0.835443037974684,79
"122","Or116",0.835051546391753,97
