,GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,classicKS,elimKS
1,GO:0006412,translation,329,47,15,1,1.10E-12,2.40E-07,3.60E-05
1114,GO:0043043,peptide biosynthetic process,333,47,15.18,2,1.80E-12,3.40E-07,0.89084
446,GO:0006518,peptide metabolic process,389,48,17.74,3,1.40E-10,3.70E-06,0.25226
1329,GO:0043604,amide biosynthetic process,381,47,17.37,4,2.20E-10,1.70E-05,0.98922
1062,GO:0043603,amide metabolic process,490,50,22.34,5,3.90E-08,0.00103,0.85883
1017,GO:0034645,cellular macromolecule biosynthetic proc...,480,48,21.89,6,1.40E-07,0.0007,0.82997
465,GO:0019538,protein metabolic process,1867,124,85.13,7,1.00E-06,0.00014,0.27214
116,GO:0006508,proteolysis,762,60,34.74,8,1.30E-05,0.04167,0.04167
4,GO:0006826,iron ion transport,21,7,0.96,9,2.60E-05,0.0005,0.0005
447,GO:0043170,macromolecule metabolic process,3739,206,170.49,10,4.30E-05,5.10E-06,0.25322
835,GO:1901564,organonitrogen compound metabolic proces...,2312,138,105.42,11,7.70E-05,0.02904,0.68751
474,GO:0044271,cellular nitrogen compound biosynthetic ...,1701,104,77.56,12,0.00042,0.05995,0.2889
1078,GO:1901566,organonitrogen compound biosynthetic pro...,739,53,33.7,13,0.0005,0.12923,0.86876
254,GO:0009059,macromolecule biosynthetic process,1651,99,75.28,14,0.00124,0.01589,0.10856
1123,GO:0044260,cellular macromolecule metabolic process,1148,73,52.34,15,0.00141,0.02542,0.89527
5,GO:0002181,cytoplasmic translation,49,8,2.23,16,0.00151,0.00061,0.00061
18,GO:0044419,biological process involved in interspec...,49,8,2.23,17,0.00151,0.00444,0.00444
51,GO:0007601,visual perception,12,4,0.55,18,0.00157,0.01356,0.01356
52,GO:0050953,sensory perception of light stimulus,12,4,0.55,19,0.00157,0.01356,0.01356
972,GO:0071704,organic substance metabolic process,4617,236,210.52,20,0.00173,0.15239,0.79472
856,GO:0044238,primary metabolic process,4411,227,201.13,21,0.00174,0.13339,0.70714
11,GO:0000028,ribosomal small subunit assembly,13,4,0.59,22,0.00219,0.00107,0.00107
98,GO:0042127,regulation of cell population proliferat...,13,4,0.59,23,0.00219,0.03427,0.03427
806,GO:0006807,nitrogen compound metabolic process,4123,213,187.99,24,0.00276,0.01655,0.64669
471,GO:0042274,ribosomal small subunit biogenesis,58,8,2.64,25,0.00448,0.00071,0.28377
556,GO:0005975,carbohydrate metabolic process,205,18,9.35,27,0.00565,0.37812,0.37812
1382,GO:0000041,transition metal ion transport,48,7,2.19,26,0.00565,0.158,0.9973
262,GO:0008283,cell population proliferation,17,4,0.78,28,0.0063,0.11624,0.11624
1067,GO:0010467,gene expression,2036,113,92.83,29,0.0078,0.01481,0.86043
422,GO:0042255,ribosome assembly,39,6,1.78,30,0.00784,0.01553,0.22412
10,GO:0006026,aminoglycan catabolic process,28,5,1.28,31,0.00791,0.00104,0.00104
807,GO:0006022,aminoglycan metabolic process,40,6,1.82,32,0.00888,0.00052,0.64821
213,GO:0140694,non-membrane-bounded organelle assembly,95,10,4.33,33,0.01096,0.02299,0.0888
16,GO:0006268,DNA unwinding involved in DNA replicatio...,11,3,0.5,34,0.01179,0.00374,0.00374
1035,GO:0008152,metabolic process,4792,238,218.5,35,0.01225,0.3237,0.84273
83,GO:0032989,cellular component morphogenesis,69,8,3.15,36,0.0127,0.02943,0.02943
202,GO:0006302,double-strand break repair,83,9,3.78,37,0.01286,0.00014,0.08064
204,GO:0007131,reciprocal meiotic recombination,21,4,0.96,38,0.01373,0.08102,0.08102
205,GO:0035825,homologous recombination,21,4,0.96,39,0.01373,0.08102,0.08102
206,GO:0140527,reciprocal homologous recombination,21,4,0.96,40,0.01373,0.08102,0.08102
34,GO:0030490,maturation of SSU-rRNA,45,6,2.05,41,0.01558,0.00942,0.00942
118,GO:0009607,response to biotic stimulus,33,5,1.5,42,0.01586,0.04284,0.04284
119,GO:0043207,response to external biotic stimulus,33,5,1.5,43,0.01586,0.04284,0.04284
120,GO:0051707,response to other organism,33,5,1.5,44,0.01586,0.04284,0.04284
121,GO:0098542,defense response to other organism,33,5,1.5,45,0.01586,0.04284,0.04284
144,GO:0006955,immune response,33,5,1.5,46,0.01586,0.05228,0.05228
674,GO:0034641,cellular nitrogen compound metabolic pro...,2529,134,115.31,47,0.01694,0.01732,0.52593
354,GO:0007127,meiosis I,23,4,1.05,48,0.01891,0.16169,0.16169
574,GO:0006309,apoptotic DNA fragmentation,13,3,0.59,49,0.01911,0.39873,0.39873
575,GO:0006921,cellular component disassembly involved ...,13,3,0.59,50,0.01911,0.39873,0.39873
576,GO:0030262,apoptotic nuclear changes,13,3,0.59,51,0.01911,0.39873,0.39873
571,GO:0009888,tissue development,24,4,1.09,52,0.0219,0.39447,0.39447
21,GO:0000280,nuclear division,77,8,3.51,53,0.0234,0.00494,0.00494
23,GO:0042254,ribosome biogenesis,188,15,8.57,54,0.02447,0.00138,0.00556
186,GO:0002376,immune system process,37,5,1.69,55,0.02513,0.07266,0.07266
65,GO:0042273,ribosomal large subunit biogenesis,51,6,2.33,56,0.02747,0.01821,0.01821
187,GO:0006952,defense response,38,5,1.73,57,0.0279,0.07352,0.07352
158,GO:0051651,maintenance of location in cell,15,3,0.68,58,0.02842,0.05749,0.05749
457,GO:0006308,DNA catabolic process,15,3,0.68,59,0.02842,0.26387,0.26387
236,GO:0061982,meiosis I cell cycle process,26,4,1.19,60,0.02869,0.10072,0.10072
632,GO:1901136,carbohydrate derivative catabolic proces...,67,7,3.05,61,0.03207,0.00686,0.47617
6,GO:0000724,double-strand break repair via homologou...,53,6,2.42,62,0.03249,0.00064,0.00064
1431,GO:0000725,recombinational repair,53,6,2.42,63,0.03249,0.00064,1
495,GO:0048646,anatomical structure formation involved ...,16,3,0.73,64,0.03383,0.30999,0.30999
371,GO:0006417,regulation of translation,83,8,3.78,65,0.03475,0.04013,0.18179
166,GO:0007409,axonogenesis,55,6,2.51,66,0.03806,0.06581,0.06581
167,GO:0061564,axon development,55,6,2.51,67,0.03806,0.06581,0.06581
400,GO:0006873,intracellular monoatomic ion homeostasis,70,7,3.19,68,0.03943,0.2045,0.2045
401,GO:0030003,intracellular monoatomic cation homeosta...,70,7,3.19,69,0.03943,0.2045,0.2045
9,GO:0031032,actomyosin structure organization,17,3,0.78,70,0.03973,0.00097,0.00097
427,GO:0061061,muscle structure development,17,3,0.78,71,0.03973,0.23154,0.23154
533,GO:0097194,execution phase of apoptosis,17,3,0.78,72,0.03973,0.35045,0.35045
292,GO:0034248,regulation of amide metabolic process,86,8,3.92,73,0.04163,0.02728,0.13075
443,GO:0006812,monoatomic cation transport,237,17,10.81,74,0.04242,0.04336,0.2499
195,GO:0009653,anatomical structure morphogenesis,135,11,6.16,75,0.04378,0.07778,0.07778
937,GO:0048285,organelle fission,87,8,3.97,76,0.04411,0.01441,0.77483
147,GO:0000462,maturation of SSU-rRNA from tricistronic...,30,4,1.37,77,0.04567,0.05332,0.05332
1176,GO:0044249,cellular biosynthetic process,2039,107,92.97,78,0.04702,0.47773,0.93115
218,GO:2000112,regulation of cellular macromolecule bio...,89,8,4.06,79,0.04935,0.01513,0.09038
555,GO:0019725,cellular homeostasis,89,8,4.06,80,0.04935,0.37736,0.37736
380,GO:0055082,intracellular chemical homeostasis,74,7,3.37,81,0.05083,0.18889,0.18889
278,GO:0000904,cell morphogenesis involved in different...,59,6,2.69,82,0.05094,0.12572,0.12572
279,GO:0048667,cell morphogenesis involved in neuron di...,59,6,2.69,83,0.05094,0.12572,0.12572
47,GO:0006032,chitin catabolic process,19,3,0.87,84,0.05296,0.01277,0.01277
272,GO:0030203,glycosaminoglycan metabolic process,19,3,0.87,85,0.05296,0.12355,0.12355
636,GO:0007600,sensory perception,75,7,3.42,86,0.05398,0.48077,0.48077
133,GO:0009605,response to external stimulus,124,10,5.65,87,0.05616,0.04801,0.04801
1036,GO:1901576,organic substance biosynthetic process,2077,108,94.7,88,0.05741,0.39749,0.84401
1144,GO:0009058,biosynthetic process,2099,109,95.71,89,0.05801,0.48081,0.90962
13,GO:0034968,histone lysine methylation,20,3,0.91,90,0.06028,0.00282,0.00282
280,GO:0032990,cell part morphogenesis,63,6,2.87,91,0.0662,0.12734,0.12734
281,GO:0048812,neuron projection morphogenesis,63,6,2.87,92,0.0662,0.12734,0.12734
282,GO:0048858,cell projection morphogenesis,63,6,2.87,93,0.0662,0.12734,0.12734
283,GO:0120039,plasma membrane bounded cell projection ...,63,6,2.87,94,0.0662,0.12734,0.12734
70,GO:0140013,meiotic nuclear division,34,4,1.55,95,0.06717,0.01966,0.01966
563,GO:0030001,metal ion transport,198,14,9.03,96,0.06787,0.06952,0.38544
12,GO:0006030,chitin metabolic process,21,3,0.96,97,0.06803,0.00281,0.00281
41,GO:1901072,glucosamine-containing compound cataboli...,21,3,0.96,98,0.06803,0.01144,0.01144
257,GO:0010608,post-transcriptional regulation of gene ...,96,8,4.38,99,0.07082,0.01317,0.11139
29,GO:0016441,post-transcriptional gene silencing,10,2,0.46,100,0.07323,0.00844,0.00844
75,GO:0030010,establishment of cell polarity,10,2,0.46,101,0.07323,0.02279,0.02279
219,GO:0030866,cortical actin cytoskeleton organization,10,2,0.46,102,0.07323,0.09167,0.09167
267,GO:0050770,regulation of axonogenesis,10,2,0.46,103,0.07323,0.11941,0.11941
372,GO:0099173,postsynapse organization,10,2,0.46,104,0.07323,0.18192,0.18192
72,GO:0046348,amino sugar catabolic process,22,3,1,105,0.07622,0.02004,0.02004
