,GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,classicKS,elimKS
1,GO:0003735,structural constituent of ribosome,152,40,7.21,1,1.1e-19,< 1e-30,< 1e-30
2,GO:0004252,serine-type endopeptidase activity,268,50,12.72,2,2.0e-17,3.8e-11,3.8e-11
52,GO:0008236,serine-type peptidase activity,283,51,13.43,3,4.3e-17,1.5e-11,0.05966
143,GO:0017171,serine hydrolase activity,286,51,13.57,4,6.8e-17,4.1e-11,0.25307
320,GO:0004175,endopeptidase activity,383,53,18.18,5,8.8e-13,2.8e-08,0.72258
417,GO:0008233,peptidase activity,541,58,25.68,6,2.4e-09,0.00022,0.90362
465,GO:0005198,structural molecule activity,423,44,20.08,7,5.9e-07,0.00421,0.95128
395,GO:0016787,hydrolase activity,1461,99,69.34,8,7.8e-05,0.00768,0.87133
9,GO:0061783,peptidoglycan muralytic activity,12,5,0.57,9,0.00014,0.00085,0.00085
28,GO:0016798,"hydrolase activity, acting on glycosyl b...",94,12,4.46,10,0.00155,0.0224,0.0224
24,GO:0004553,"hydrolase activity, hydrolyzing O-glycos...",86,11,4.08,11,0.00237,0.0145,0.0145
14,GO:1901681,sulfur compound binding,31,6,1.47,12,0.00295,0.00417,0.00417
244,GO:0140096,"catalytic activity, acting on a protein",1175,74,55.77,13,0.00555,0.00073,0.55991
29,GO:0005539,glycosaminoglycan binding,10,3,0.47,14,0.00992,0.02316,0.02316
49,GO:0008198,ferrous iron binding,12,3,0.57,15,0.01695,0.05342,0.05342
31,GO:0140097,"catalytic activity, acting on DNA",128,12,6.08,16,0.01824,2.2e-08,0.02464
70,GO:0004866,endopeptidase inhibitor activity,48,6,2.28,17,0.02503,0.09218,0.09218
87,GO:0061135,endopeptidase regulator activity,51,6,2.42,18,0.03265,0.12923,0.12923
46,GO:0005506,iron ion binding,174,14,8.26,19,0.03694,0.05091,0.05091
34,GO:0004568,chitinase activity,16,3,0.76,20,0.0375,0.03268,0.03268
81,GO:0030414,peptidase inhibitor activity,53,6,2.52,21,0.03849,0.11359,0.11359
