Locus	Prop. Matching Expression with Dsc1	Gene
LOC5575962	1	DSC1
LOC5565718	0.933693029	heterogeneous nuclear ribonucleoprotein K
LOC5564192	0.932131194	uncharacterized
LOC5565883	0.932131194	CUGBP Elav-like family member 2
LOC5578284	0.929291495	pikachurin
LOC5571255	0.929007525	potassium voltage-gated channel subfamily H member 6
LOC5572202	0.929007525	potassium voltage-gated channel protein Shab
LOC5567355	0.927871646	Para
LOC5569269	0.925741871	complexin
LOC5579421	0.921908278	glutamate-gated chloride channel
LOC5571937	0.920204458	zinc finger protein on ecdysone puffs
LOC5572028	0.920062473	potassium voltage-gated channel protein Shaker
LOC5568022	0.919068579	small conductance calcium-activated potassium channel protein
LOC5573418	0.918500639	ATP-dependent RNA helicase dbp2
LOC5567168	0.918216669	beta-amyloid-like protein
LOC5567775	0.91594491	uncharacterized
LOC5578934	0.914099105	calcium-activated potassium channel slowpoke
LOC5575778	0.913673151	TLD domain-containing protein 2
LOC5575790	0.913531166	sodium/potassium-transporting ATPase subunit alpha
LOC5571969	0.912111316	potassium voltage-gated channel subfamily KQT member 2
LOC5566411	0.911827346	sensory neuron membrane protein 1
LOC5567609	0.908987647	neurexin-1
LOC5575494	0.908703677	glucose transporter type 1
LOC5566288	0.907993753	RNA-binding protein Musashi homolog Rbp6
LOC5573862	0.907851768	sodium/potassium-transporting ATPase subunit beta-2
LOC5569019	0.907425813	band 7 protein AAEL010189
LOC5576630	0.906715888	syntaxin-1A
LOC5569496	0.904870084	"protein bunched, class 2/F/G isoform"
LOC5567456	0.904018174	extracellular matrix-binding protein ebh
LOC5578710	0.903166264	calcium/calmodulin-dependent protein kinase type II alpha chain
LOC5568798	0.903166264	potassium voltage-gated channel protein Shaw
LOC5565217	0.90245634	protein Fe65 homolog
LOC5574135	0.90103649	RIMS-binding protein 2
Orco	0.897202896	Orco
LOC5573425	0.896492972	
LOC5580239	0.896350987	
LOC5578336	0.895783047	
LOC5571800	0.894363198	
LOC5575425	0.894363198	
LOC5575390	0.893227318	
LOC5569059	0.892375408	
LOC110679012	0.890813574	
LOC5574316	0.889819679	
LOC5572932	0.889677694	
LOC5567198	0.8886838	
LOC110679566	0.886837995	
LOC5571223	0.885702116	
LOC5580311	0.885418146	
LOC5565069	0.884566236	
LOC5564259	0.884282266	
LOC5574714	0.883004402	
LOC5571946	0.882294477	
LOC5577230	0.881158597	
LOC5571599	0.881016612	
LOC5565368	0.880732642	
LOC5578376	0.878886838	
LOC5576237	0.878460883	
LOC5579528	0.877750958	
LOC110679507	0.877466988	
LOC5566699	0.877041034	
LOC5575208	0.876615079	
LOC5579800	0.876615079	
LOC5566637	0.875905154	
LOC5566252	0.875053244	
LOC5571857	0.87405935	
LOC5571415	0.873633395	
LOC5576362	0.872781485	
LOC5572379	0.871929575	
LOC5566612	0.871929575	
LOC5575569	0.871503621	
LOC5572256	0.869515831	
LOC5571687	0.869231861	
LOC5566562	0.867953997	
LOC5570867	0.867244072	
LOC5572304	0.866534147	
LOC5573942	0.864120403	
LOC5569782	0.863978418	
LOC5568949	0.863694448	
LOC5567380	0.863268494	
LOC5574758	0.862984524	
LOC5572184	0.862842539	
LOC5574500	0.862700554	
LOC5576029	0.862132614	
LOC5563832	0.860570779	
LOC5579882	0.860570779	
LOC5566385	0.858724975	
LOC110679171	0.858441005	
LOC5565278	0.856737186	
LOC5578843	0.856595201	
